dish_id,dish_name,context_type,cuisine,serving_description,serving_size_grams,ingredients_list,preparation_notes,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,source_confidence
D001,Grilled Chicken Caesar Salad,restaurant,American,1 plate,350,romaine lettuce 150g; grilled chicken breast (no skin) 120g; Caesar dressing 50g; Parmesan cheese 20g; croutons 10g,tossed with heavy cream-based dressing,510,45,15,30,3,lab_like_recipe_calc
D002,Cobb Salad with Ranch,restaurant,American,1 bowl,400,mixed greens 100g; turkey 80g; bacon 30g; hard-boiled egg 50g; avocado 60g; ranch dressing 60g; blue cheese 20g,"heavily dressed, high fat toppings",740,35,15,60,6,lab_like_recipe_calc
D003,Southwestern Steak Salad,restaurant,Tex-Mex,1 plate,450,romaine 100g; grilled flank steak 150g; black beans 50g; corn 50g; tortilla strips 30g; chipotle ranch 70g,"grilled meat, thick dressing",830,45,50,50,9,lab_like_recipe_calc
D004,Double Cheeseburger & Large Fries,restaurant,American,1 meal,500,beef patties (80/20) 200g; hamburger bun 80g; American cheese 40g; mayo 15g; french fries 165g,"deep-fried fries, high-fat grilled patties",1230,50,110,65,7,lab_like_recipe_calc
D005,Chicken Tikka Masala & Basmati Rice,restaurant,Indian,1 combo tray,550,chicken thigh 150g; tomato cream sauce 200g; cooked basmati rice 200g,rich heavy cream sauce,850,35,75,45,4,approximate_but_consistent
D006,Beef Tacos & Refried Beans,restaurant,Mexican,1 plate,450,ground beef 120g; corn tortillas 90g; cheddar cheese 40g; lettuce 30g; refried beans 150g; lard 20g,"beans fried in lard, fatty beef",910,40,65,55,12,lab_like_recipe_calc
D007,Fried Chicken Combo,restaurant,American,1 meal,600,breaded chicken breast 150g; breaded chicken thigh 120g; buttermilk biscuit 80g; mashed potatoes 200g; gravy 50g,"deep-fried chicken, butter-heavy sides",1410,55,105,85,5,lab_like_recipe_calc
D008,Teriyaki Salmon Bento & California Roll,restaurant,Japanese,1 bento box,550,salmon fillet 120g; teriyaki sauce 40g; white rice 150g; California roll 200g; steamed broccoli 40g,sugar-heavy glazed salmon,980,45,130,30,6,lab_like_recipe_calc
D009,Chocolate Lava Cake with Ice Cream,restaurant,American,1 dessert,220,chocolate cake batter 120g; chocolate ganache 40g; vanilla ice cream 60g,"baked, dense sugar and fat",750,8,85,42,4,high_confidence_recipe
D010,Strawberry Cheesecake,restaurant,American,1 slice,180,cream cheese 80g; graham cracker crust 40g; sugar 30g; strawberry topping 30g,"baked, high fat cream cheese base",610,9,58,38,1,lab_like_recipe_calc
D011,Large Boba Milk Tea,restaurant,Taiwanese,1 cup,500,black tea 250g; whole milk 100g; simple syrup 50g; tapioca pearls 100g,high sugar beverage,430,4,95,4,0,approximate_but_consistent
D012,Vanilla Milkshake,restaurant,American,1 glass,400,vanilla ice cream 250g; whole milk 100g; whipped cream 50g,"blended, extremely dense",770,12,85,42,0,approximate_but_consistent
D013,Vegan Buddha Bowl,restaurant,Mediterranean,1 bowl,450,sweet potato 100g; cooked quinoa 100g; roasted chickpeas 80g; kale 70g; tahini dressing 50g; avocado 50g,"roasted veggies, heavy oil dressing",610,16,65,32,15,lab_like_recipe_calc
D014,Margherita Pizza,restaurant,Italian,1 small pizza,350,pizza dough 200g; tomato sauce 50g; fresh mozzarella 90g; olive oil 5g; basil 5g,wood-fired,830,35,100,32,4,lab_like_recipe_calc
D015,Eggplant Parmesan,restaurant,Italian,1 plate,400,breaded eggplant 200g; marinara sauce 100g; mozzarella cheese 70g; parmesan 30g,deep-fried and baked,740,28,55,45,9,lab_like_recipe_calc
D016,"Bacon, Egg, & Cheese Croissant",restaurant,American,1 sandwich,180,butter croissant 70g; fried egg 50g; bacon 30g; American cheese 30g,"toasted, high fat components",620,22,30,46,1,lab_like_recipe_calc
D017,Buttermilk Pancakes with Syrup,restaurant,American,1 plate,350,pancake batter (cooked) 200g; butter 20g; maple syrup 80g; powdered sugar 10g,"pan-fried in butter, heavy syrup",850,12,145,25,2,lab_like_recipe_calc
D018,Shrimp Tempura Roll,restaurant,Japanese,1 roll,250,sushi rice 120g; battered deep-fried shrimp 70g; seaweed 5g; spicy mayo 25g; avocado 30g,"deep-fried tempura, fatty mayo",510,12,60,25,3,lab_like_recipe_calc
